SampleID ,SSID,BSSID,level,frequency,Capabilities,describeContents
117,eduroam,2c:36:f8:d9:fc:50,-64,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,tudelft-dastud,2c:36:f8:e8:93:0b,-69,5220,[WPA2-EAP-CCMP][ESS],0

117,Conferentie-TUD,2c:36:f8:e8:93:09,-69,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,tudelft-dastud,2c:36:f8:e8:8f:ab,-72,5520,[WPA2-EAP-CCMP][ESS],0

117,Conferentie-TUD,2c:36:f8:e8:8f:a9,-72,5520,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,eduroam,2c:36:f8:e8:8f:af,-73,5520,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,Conferentie-TUD,2c:36:f8:d9:fc:59,-76,5260,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,tudelft-dastud,00:1b:2b:69:47:db,-76,5240,[WPA2-EAP-CCMP][ESS],0

117,eduroam,00:1b:2b:69:47:df,-76,5240,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,Conferentie-TUD,00:1b:2b:69:47:d9,-76,5240,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,eduroam,2c:36:f8:d9:fc:5f,-77,5260,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,tudelft-dastud,2c:36:f8:d9:fc:5b,-77,5260,[WPA2-EAP-CCMP][ESS],0

117,Conferentie-TUD,2c:36:f8:e8:8f:a6,-74,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,Conferentie-TUD,24:01:c7:76:10:b6,-75,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,eduroam,24:01:c7:76:10:b0,-75,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,eduroam,2c:36:f8:e8:8f:a0,-75,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,tudelft-dastud,24:01:c7:76:10:b4,-75,2462,[WPA2-EAP-CCMP][ESS],0

117,tudelft-dastud,2c:36:f8:e8:8f:a4,-75,2437,[WPA2-EAP-CCMP][ESS],0

117,EvaNetHS,44:94:fc:93:0f:47,-85,5260,[WPA2-PSK-CCMP][ESS],0

117,Conferentie-TUD,24:01:c7:76:10:b9,-81,5540,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,tudelft-dastud,24:01:c7:76:10:bb,-81,5540,[WPA2-EAP-CCMP][ESS],0

117,eduroam,24:01:c7:76:10:bf,-81,5540,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,Conferentie-TUD,3c:ce:73:08:1a:59,-83,5320,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,tudelft-dastud,3c:ce:73:08:1a:5b,-83,5320,[WPA2-EAP-CCMP][ESS],0

117,eduroam,3c:ce:73:08:1a:5f,-84,5320,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,Conferentie-TUD,00:1b:2b:69:47:d6,-81,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

117,eduroam,00:1b:90:76:be:40,-82,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

117,EvaNet,44:94:fc:93:0f:46,-91,2462,[WPA2-PSK-CCMP][ESS],0

117,TUvisitor,2c:36:f8:e8:93:0c,-69,5220,[ESS],0

117,TUvisitor,2c:36:f8:d9:fc:53,-65,2412,[ESS],0

117,TUvisitor,2c:36:f8:e8:8f:ac,-72,5520,[ESS],0

117,TUvisitor,00:1b:2b:69:47:dc,-76,5240,[ESS],0

117,TUvisitor,2c:36:f8:d9:fc:5c,-77,5260,[ESS],0

117,TUvisitor,2c:36:f8:e8:8f:a3,-75,2437,[ESS],0

117,TUvisitor,24:01:c7:76:10:bc,-81,5540,[ESS],0

117,HPCP1025-A528D4,02:22:02:13:c9:b3,-77,2457,[IBSS],0

117,TUvisitor,3c:ce:73:08:1a:5c,-83,5320,[ESS],0

117,TUvisitor,00:1b:90:76:be:43,-81,2412,[ESS],0

117,TUvisitor,00:1b:2b:69:47:d3,-83,2412,[ESS],0

118,Conferentie-TUD,2c:36:f8:d9:fc:56,-63,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,tudelft-dastud,2c:36:f8:d9:fc:54,-63,2412,[WPA2-EAP-CCMP][ESS],0

118,eduroam,2c:36:f8:e8:93:0f,-68,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,eduroam,2c:36:f8:d9:fc:50,-64,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,tudelft-dastud,2c:36:f8:e8:93:0b,-69,5220,[WPA2-EAP-CCMP][ESS],0

118,Conferentie-TUD,2c:36:f8:e8:93:09,-69,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,tudelft-dastud,2c:36:f8:e8:8f:ab,-72,5520,[WPA2-EAP-CCMP][ESS],0

118,Conferentie-TUD,2c:36:f8:e8:8f:a9,-72,5520,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,eduroam,2c:36:f8:e8:8f:af,-73,5520,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,Conferentie-TUD,2c:36:f8:d9:fc:59,-76,5260,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,tudelft-dastud,00:1b:2b:69:47:db,-76,5240,[WPA2-EAP-CCMP][ESS],0

118,eduroam,00:1b:2b:69:47:df,-76,5240,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,Conferentie-TUD,00:1b:2b:69:47:d9,-76,5240,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,eduroam,2c:36:f8:d9:fc:5f,-77,5260,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,tudelft-dastud,2c:36:f8:d9:fc:5b,-77,5260,[WPA2-EAP-CCMP][ESS],0

118,Conferentie-TUD,2c:36:f8:e8:8f:a6,-74,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,Conferentie-TUD,24:01:c7:76:10:b6,-75,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,eduroam,24:01:c7:76:10:b0,-75,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,eduroam,2c:36:f8:e8:8f:a0,-75,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,tudelft-dastud,24:01:c7:76:10:b4,-75,2462,[WPA2-EAP-CCMP][ESS],0

118,tudelft-dastud,2c:36:f8:e8:8f:a4,-75,2437,[WPA2-EAP-CCMP][ESS],0

118,EvaNetHS,44:94:fc:93:0f:47,-85,5260,[WPA2-PSK-CCMP][ESS],0

118,Conferentie-TUD,24:01:c7:76:10:b9,-81,5540,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,tudelft-dastud,24:01:c7:76:10:bb,-81,5540,[WPA2-EAP-CCMP][ESS],0

118,eduroam,24:01:c7:76:10:bf,-81,5540,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,Conferentie-TUD,3c:ce:73:08:1a:59,-83,5320,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,tudelft-dastud,3c:ce:73:08:1a:5b,-83,5320,[WPA2-EAP-CCMP][ESS],0

118,eduroam,3c:ce:73:08:1a:5f,-84,5320,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,Conferentie-TUD,00:1b:2b:69:47:d6,-81,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

118,eduroam,00:1b:90:76:be:40,-82,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

118,EvaNet,44:94:fc:93:0f:46,-91,2462,[WPA2-PSK-CCMP][ESS],0

118,TUvisitor,2c:36:f8:e8:93:0c,-69,5220,[ESS],0

118,TUvisitor,2c:36:f8:d9:fc:53,-65,2412,[ESS],0

118,TUvisitor,2c:36:f8:e8:8f:ac,-72,5520,[ESS],0

118,TUvisitor,00:1b:2b:69:47:dc,-76,5240,[ESS],0

118,TUvisitor,2c:36:f8:d9:fc:5c,-77,5260,[ESS],0

118,TUvisitor,2c:36:f8:e8:8f:a3,-75,2437,[ESS],0

118,TUvisitor,24:01:c7:76:10:bc,-81,5540,[ESS],0

118,HPCP1025-A528D4,02:22:02:13:c9:b3,-77,2457,[IBSS],0

118,TUvisitor,3c:ce:73:08:1a:5c,-83,5320,[ESS],0

118,TUvisitor,00:1b:90:76:be:43,-81,2412,[ESS],0

118,TUvisitor,00:1b:2b:69:47:d3,-83,2412,[ESS],0

119,Conferentie-TUD,2c:36:f8:d9:fc:56,-63,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,tudelft-dastud,2c:36:f8:d9:fc:54,-63,2412,[WPA2-EAP-CCMP][ESS],0

119,eduroam,2c:36:f8:e8:93:0f,-68,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,eduroam,2c:36:f8:d9:fc:50,-64,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,tudelft-dastud,2c:36:f8:e8:93:0b,-69,5220,[WPA2-EAP-CCMP][ESS],0

119,Conferentie-TUD,2c:36:f8:e8:93:09,-69,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,tudelft-dastud,2c:36:f8:e8:8f:ab,-72,5520,[WPA2-EAP-CCMP][ESS],0

119,Conferentie-TUD,2c:36:f8:e8:8f:a9,-72,5520,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,eduroam,2c:36:f8:e8:8f:af,-73,5520,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,Conferentie-TUD,2c:36:f8:d9:fc:59,-76,5260,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,tudelft-dastud,00:1b:2b:69:47:db,-76,5240,[WPA2-EAP-CCMP][ESS],0

119,eduroam,00:1b:2b:69:47:df,-76,5240,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,Conferentie-TUD,00:1b:2b:69:47:d9,-76,5240,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,eduroam,2c:36:f8:d9:fc:5f,-77,5260,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,tudelft-dastud,2c:36:f8:d9:fc:5b,-77,5260,[WPA2-EAP-CCMP][ESS],0

119,Conferentie-TUD,2c:36:f8:e8:8f:a6,-74,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,Conferentie-TUD,24:01:c7:76:10:b6,-75,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,eduroam,24:01:c7:76:10:b0,-75,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,eduroam,2c:36:f8:e8:8f:a0,-75,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,tudelft-dastud,24:01:c7:76:10:b4,-75,2462,[WPA2-EAP-CCMP][ESS],0

119,tudelft-dastud,2c:36:f8:e8:8f:a4,-75,2437,[WPA2-EAP-CCMP][ESS],0

119,EvaNetHS,44:94:fc:93:0f:47,-85,5260,[WPA2-PSK-CCMP][ESS],0

119,Conferentie-TUD,24:01:c7:76:10:b9,-81,5540,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,tudelft-dastud,24:01:c7:76:10:bb,-81,5540,[WPA2-EAP-CCMP][ESS],0

119,eduroam,24:01:c7:76:10:bf,-81,5540,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,Conferentie-TUD,3c:ce:73:08:1a:59,-83,5320,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,tudelft-dastud,3c:ce:73:08:1a:5b,-83,5320,[WPA2-EAP-CCMP][ESS],0

119,eduroam,3c:ce:73:08:1a:5f,-84,5320,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,Conferentie-TUD,00:1b:2b:69:47:d6,-81,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

119,eduroam,00:1b:90:76:be:40,-82,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

119,EvaNet,44:94:fc:93:0f:46,-91,2462,[WPA2-PSK-CCMP][ESS],0

119,TUvisitor,2c:36:f8:e8:93:0c,-69,5220,[ESS],0

119,TUvisitor,2c:36:f8:d9:fc:53,-65,2412,[ESS],0

119,TUvisitor,2c:36:f8:e8:8f:ac,-72,5520,[ESS],0

119,TUvisitor,00:1b:2b:69:47:dc,-76,5240,[ESS],0

119,TUvisitor,2c:36:f8:d9:fc:5c,-77,5260,[ESS],0

119,TUvisitor,2c:36:f8:e8:8f:a3,-75,2437,[ESS],0

119,TUvisitor,24:01:c7:76:10:bc,-81,5540,[ESS],0

119,HPCP1025-A528D4,02:22:02:13:c9:b3,-77,2457,[IBSS],0

119,TUvisitor,3c:ce:73:08:1a:5c,-83,5320,[ESS],0

119,TUvisitor,00:1b:90:76:be:43,-81,2412,[ESS],0

119,TUvisitor,00:1b:2b:69:47:d3,-83,2412,[ESS],0

120,Conferentie-TUD,2c:36:f8:d9:fc:56,-63,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,tudelft-dastud,2c:36:f8:d9:fc:54,-63,2412,[WPA2-EAP-CCMP][ESS],0

120,eduroam,2c:36:f8:e8:93:0f,-68,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,eduroam,2c:36:f8:d9:fc:50,-64,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,tudelft-dastud,2c:36:f8:e8:93:0b,-69,5220,[WPA2-EAP-CCMP][ESS],0

120,Conferentie-TUD,2c:36:f8:e8:93:09,-69,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,tudelft-dastud,2c:36:f8:e8:8f:ab,-72,5520,[WPA2-EAP-CCMP][ESS],0

120,Conferentie-TUD,2c:36:f8:e8:8f:a9,-72,5520,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,eduroam,2c:36:f8:e8:8f:af,-73,5520,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,Conferentie-TUD,2c:36:f8:d9:fc:59,-76,5260,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,tudelft-dastud,00:1b:2b:69:47:db,-76,5240,[WPA2-EAP-CCMP][ESS],0

120,eduroam,00:1b:2b:69:47:df,-76,5240,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,Conferentie-TUD,00:1b:2b:69:47:d9,-76,5240,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,eduroam,2c:36:f8:d9:fc:5f,-77,5260,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,tudelft-dastud,2c:36:f8:d9:fc:5b,-77,5260,[WPA2-EAP-CCMP][ESS],0

120,Conferentie-TUD,2c:36:f8:e8:8f:a6,-74,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,Conferentie-TUD,24:01:c7:76:10:b6,-75,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,eduroam,24:01:c7:76:10:b0,-75,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,eduroam,2c:36:f8:e8:8f:a0,-75,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,tudelft-dastud,24:01:c7:76:10:b4,-75,2462,[WPA2-EAP-CCMP][ESS],0

120,tudelft-dastud,2c:36:f8:e8:8f:a4,-75,2437,[WPA2-EAP-CCMP][ESS],0

120,EvaNetHS,44:94:fc:93:0f:47,-85,5260,[WPA2-PSK-CCMP][ESS],0

120,Conferentie-TUD,24:01:c7:76:10:b9,-81,5540,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,tudelft-dastud,24:01:c7:76:10:bb,-81,5540,[WPA2-EAP-CCMP][ESS],0

120,eduroam,24:01:c7:76:10:bf,-81,5540,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,Conferentie-TUD,3c:ce:73:08:1a:59,-83,5320,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,tudelft-dastud,3c:ce:73:08:1a:5b,-83,5320,[WPA2-EAP-CCMP][ESS],0

120,eduroam,3c:ce:73:08:1a:5f,-84,5320,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,Conferentie-TUD,00:1b:2b:69:47:d6,-81,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

120,eduroam,00:1b:90:76:be:40,-82,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

120,EvaNet,44:94:fc:93:0f:46,-91,2462,[WPA2-PSK-CCMP][ESS],0

120,TUvisitor,2c:36:f8:e8:93:0c,-69,5220,[ESS],0

120,TUvisitor,2c:36:f8:d9:fc:53,-65,2412,[ESS],0

120,TUvisitor,2c:36:f8:e8:8f:ac,-72,5520,[ESS],0

120,TUvisitor,00:1b:2b:69:47:dc,-76,5240,[ESS],0

120,TUvisitor,2c:36:f8:d9:fc:5c,-77,5260,[ESS],0

120,TUvisitor,2c:36:f8:e8:8f:a3,-75,2437,[ESS],0

120,TUvisitor,24:01:c7:76:10:bc,-81,5540,[ESS],0

120,HPCP1025-A528D4,02:22:02:13:c9:b3,-77,2457,[IBSS],0

120,TUvisitor,3c:ce:73:08:1a:5c,-83,5320,[ESS],0

120,TUvisitor,00:1b:90:76:be:43,-81,2412,[ESS],0

120,TUvisitor,00:1b:2b:69:47:d3,-83,2412,[ESS],0

121,Conferentie-TUD,2c:36:f8:d9:fc:56,-63,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,tudelft-dastud,2c:36:f8:d9:fc:54,-63,2412,[WPA2-EAP-CCMP][ESS],0

121,eduroam,2c:36:f8:e8:93:0f,-68,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,eduroam,2c:36:f8:d9:fc:50,-64,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,tudelft-dastud,2c:36:f8:e8:93:0b,-69,5220,[WPA2-EAP-CCMP][ESS],0

121,Conferentie-TUD,2c:36:f8:e8:93:09,-69,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,tudelft-dastud,2c:36:f8:e8:8f:ab,-72,5520,[WPA2-EAP-CCMP][ESS],0

121,Conferentie-TUD,2c:36:f8:e8:8f:a9,-72,5520,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,eduroam,2c:36:f8:e8:8f:af,-73,5520,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,Conferentie-TUD,2c:36:f8:d9:fc:59,-76,5260,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,tudelft-dastud,00:1b:2b:69:47:db,-76,5240,[WPA2-EAP-CCMP][ESS],0

121,eduroam,00:1b:2b:69:47:df,-76,5240,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,Conferentie-TUD,00:1b:2b:69:47:d9,-76,5240,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,eduroam,2c:36:f8:d9:fc:5f,-77,5260,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,tudelft-dastud,2c:36:f8:d9:fc:5b,-77,5260,[WPA2-EAP-CCMP][ESS],0

121,Conferentie-TUD,2c:36:f8:e8:8f:a6,-74,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,Conferentie-TUD,24:01:c7:76:10:b6,-75,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,eduroam,24:01:c7:76:10:b0,-75,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,eduroam,2c:36:f8:e8:8f:a0,-75,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,tudelft-dastud,24:01:c7:76:10:b4,-75,2462,[WPA2-EAP-CCMP][ESS],0

121,tudelft-dastud,2c:36:f8:e8:8f:a4,-75,2437,[WPA2-EAP-CCMP][ESS],0

121,EvaNetHS,44:94:fc:93:0f:47,-85,5260,[WPA2-PSK-CCMP][ESS],0

121,Conferentie-TUD,24:01:c7:76:10:b9,-81,5540,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,tudelft-dastud,24:01:c7:76:10:bb,-81,5540,[WPA2-EAP-CCMP][ESS],0

121,eduroam,24:01:c7:76:10:bf,-81,5540,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,Conferentie-TUD,3c:ce:73:08:1a:59,-83,5320,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,tudelft-dastud,3c:ce:73:08:1a:5b,-83,5320,[WPA2-EAP-CCMP][ESS],0

121,eduroam,3c:ce:73:08:1a:5f,-84,5320,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,Conferentie-TUD,00:1b:2b:69:47:d6,-81,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

121,eduroam,00:1b:90:76:be:40,-82,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

121,EvaNet,44:94:fc:93:0f:46,-91,2462,[WPA2-PSK-CCMP][ESS],0

121,TUvisitor,2c:36:f8:e8:93:0c,-69,5220,[ESS],0

121,TUvisitor,2c:36:f8:d9:fc:53,-65,2412,[ESS],0

121,TUvisitor,2c:36:f8:e8:8f:ac,-72,5520,[ESS],0

121,TUvisitor,00:1b:2b:69:47:dc,-76,5240,[ESS],0

121,TUvisitor,2c:36:f8:d9:fc:5c,-77,5260,[ESS],0

121,TUvisitor,2c:36:f8:e8:8f:a3,-75,2437,[ESS],0

121,TUvisitor,24:01:c7:76:10:bc,-81,5540,[ESS],0

121,HPCP1025-A528D4,02:22:02:13:c9:b3,-77,2457,[IBSS],0

121,TUvisitor,3c:ce:73:08:1a:5c,-83,5320,[ESS],0

121,TUvisitor,00:1b:90:76:be:43,-81,2412,[ESS],0

121,TUvisitor,00:1b:2b:69:47:d3,-83,2412,[ESS],0

122,Conferentie-TUD,2c:36:f8:d9:fc:56,-63,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,tudelft-dastud,2c:36:f8:d9:fc:54,-63,2412,[WPA2-EAP-CCMP][ESS],0

122,eduroam,2c:36:f8:e8:93:0f,-68,5220,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,eduroam,2c:36:f8:d9:fc:50,-64,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,tudelft-dastud,2c:36:f8:e8:93:0b,-69,5220,[WPA2-EAP-CCMP][ESS],0

122,Conferentie-TUD,2c:36:f8:e8:93:09,-69,5220,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,tudelft-dastud,2c:36:f8:e8:8f:ab,-72,5520,[WPA2-EAP-CCMP][ESS],0

122,Conferentie-TUD,2c:36:f8:e8:8f:a9,-72,5520,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,eduroam,2c:36:f8:e8:8f:af,-73,5520,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,Conferentie-TUD,2c:36:f8:d9:fc:59,-76,5260,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,tudelft-dastud,00:1b:2b:69:47:db,-76,5240,[WPA2-EAP-CCMP][ESS],0

122,eduroam,00:1b:2b:69:47:df,-76,5240,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,Conferentie-TUD,00:1b:2b:69:47:d9,-76,5240,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,eduroam,2c:36:f8:d9:fc:5f,-77,5260,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,tudelft-dastud,2c:36:f8:d9:fc:5b,-77,5260,[WPA2-EAP-CCMP][ESS],0

122,Conferentie-TUD,2c:36:f8:e8:8f:a6,-74,2437,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,Conferentie-TUD,24:01:c7:76:10:b6,-75,2462,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,eduroam,24:01:c7:76:10:b0,-75,2462,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,eduroam,2c:36:f8:e8:8f:a0,-75,2437,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,tudelft-dastud,24:01:c7:76:10:b4,-75,2462,[WPA2-EAP-CCMP][ESS],0

122,tudelft-dastud,2c:36:f8:e8:8f:a4,-75,2437,[WPA2-EAP-CCMP][ESS],0

122,EvaNetHS,44:94:fc:93:0f:47,-85,5260,[WPA2-PSK-CCMP][ESS],0

122,Conferentie-TUD,24:01:c7:76:10:b9,-81,5540,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,tudelft-dastud,24:01:c7:76:10:bb,-81,5540,[WPA2-EAP-CCMP][ESS],0

122,eduroam,24:01:c7:76:10:bf,-81,5540,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,Conferentie-TUD,3c:ce:73:08:1a:59,-83,5320,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,tudelft-dastud,3c:ce:73:08:1a:5b,-83,5320,[WPA2-EAP-CCMP][ESS],0

122,eduroam,3c:ce:73:08:1a:5f,-84,5320,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,Conferentie-TUD,00:1b:2b:69:47:d6,-81,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

122,eduroam,00:1b:90:76:be:40,-82,2412,[WPA-EAP-CCMP][WPA2-EAP-CCMP][ESS],0

122,EvaNet,44:94:fc:93:0f:46,-91,2462,[WPA2-PSK-CCMP][ESS],0

122,TUvisitor,2c:36:f8:e8:93:0c,-69,5220,[ESS],0

122,TUvisitor,2c:36:f8:d9:fc:53,-65,2412,[ESS],0

122,TUvisitor,2c:36:f8:e8:8f:ac,-72,5520,[ESS],0

122,TUvisitor,00:1b:2b:69:47:dc,-76,5240,[ESS],0

122,TUvisitor,2c:36:f8:d9:fc:5c,-77,5260,[ESS],0

122,TUvisitor,2c:36:f8:e8:8f:a3,-75,2437,[ESS],0

122,TUvisitor,24:01:c7:76:10:bc,-81,5540,[ESS],0

122,HPCP1025-A528D4,02:22:02:13:c9:b3,-77,2457,[IBSS],0

122,TUvisitor,3c:ce:73:08:1a:5c,-83,5320,[ESS],0

122,TUvisitor,00:1b:90:76:be:43,-81,2412,[ESS],0

122,TUvisitor,00:1b:2b:69:47:d3,-83,2412,[ESS],0

123,Conferentie-TUD,2c:36:f8:d9:fc:56,-63,2412,[WPA-PSK-TKIP][WPA2-PSK-TKIP][ESS],0

